ESTADO,UNIVERSIDAD,CAMPUS,Matricula_Total
AGUASCALIENTES,AISOL MÉXICO,AISOL MÉXICO,10
AGUASCALIENTES,"CENTRO DE ACTUALIZACIÓN PROFESIONAL DE AGUASCALIENTES, A.C.","CENTRO DE ACTUALIZACIÓN PROFESIONAL DE AGUASCALIENTES, A.C.",19
AGUASCALIENTES,"CENTRO DE ESTUDIOS PSICOANALÍTICOS MEXICANO DE AGUASCALIENTES, A.C.","CENTRO DE ESTUDIOS PSICOANALÍTICOS MEXICANO DE AGUASCALIENTES, A.C.",18
AGUASCALIENTES,CENTRO DE ESTUDIOS SUPERIORES DEL ESTADO DE AGUASCALIENTES,CENTRO DE ESTUDIOS SUPERIORES DEL ESTADO DE AGUASCALIENTES,268
AGUASCALIENTES,CENTRO REGIONAL DE EDUCACIÓN NORMAL DE AGUASCALIENTES,CENTRO REGIONAL DE EDUCACIÓN NORMAL DE AGUASCALIENTES,781
AGUASCALIENTES,CENTRO UNIVERSITARIO BRITÁNICO DE MÉXICO,CENTRO UNIVERSITARIO BRITÁNICO DE MÉXICO,"3,094"
AGUASCALIENTES,CENTRO UNIVERSITARIO DE ESTUDIOS DE LA SALUD DE AGUASCALIENTES,CENTRO UNIVERSITARIO DE ESTUDIOS DE LA SALUD DE AGUASCALIENTES,59
AGUASCALIENTES,CENTRO UNIVERSITARIO GALILEA,DIR. DE CIENCIAS HUMANÍSTICAS Y SOCIALES C. UNIVERSIDAD GALILEA,57
AGUASCALIENTES,CENTRO UNIVERSITARIO GALILEA,DIRECCIÓN DE CIENCIAS ECONOMICO Y ADMINISTRATIVO,15
AGUASCALIENTES,CENTRO UNIVERSITARIO INTERNACIONAL DE MÉXICO,CENTRO UNIVERSITARIO INTERNACIONAL DE MÉXICO - CAMPUS AGUASCALIENTES,20
AGUASCALIENTES,CENTRO UNIVERSITARIO OCTAVIO PAZ,CENTRO UNIVERSITARIO OCTAVIO PAZ,192
AGUASCALIENTES,COLEGIO LATINOAMERICANO DE EDUCACIÓN AVANZADA,COLEGIO LATINOAMERICANO DE EDUCACIÓN AVANZADA,147
AGUASCALIENTES,"ESCUELA BANCARIA Y COMERCIAL, S.C.","ESCUELA BANCARIA Y COMERCIAL, S.C. - CAMPUS AGUASCALIENTES",313
AGUASCALIENTES,ESCUELA NORMAL DE AGUASCALIENTES,ESCUELA NORMAL DE AGUASCALIENTES,484
AGUASCALIENTES,ESCUELA NORMAL DE RINCÓN DE ROMOS DR. RAFAEL FRANCISCO AGUILAR LOMELÍ,ESCUELA NORMAL DE RINCÓN DE ROMOS DR. RAFAEL FRANCISCO AGUILAR LOMELÍ,522
AGUASCALIENTES,ESCUELA NORMAL RURAL JUSTO SIERRA MÉNDEZ DE AGUASCALIENTES,JUSTO SIERRA MÉNDEZ,394
AGUASCALIENTES,ESCUELA NORMAL SUPERIOR FEDERAL DE AGUASCALIENTES PROFESOR JOSÉ SANTOS VALDÉS,JOSÉ SANTOS VALDÉS,758
AGUASCALIENTES,INSTITUTO ALAMEDA A.C.,"INSTITUTO ALAMEDA, A.C.",194
AGUASCALIENTES,INSTITUTO CIENCIA APLICADA,INSTITUTO CIENCIA APLICADA,29
AGUASCALIENTES,INSTITUTO CULTURAL DE AGUASCALIENTES,INSTITUTO CULTURAL DE AGUASCALIENTES,401
AGUASCALIENTES,INSTITUTO DE CIENCIAS FORENSES Y CRIMINOLÓGICAS,INSTITUTO DE CIENCIAS FORENSES Y CRIMINOLÓGICAS,95
AGUASCALIENTES,INSTITUTO DE EDUCACIÓN SUPERIOR AUTOMOTRÍZ,INSTITUTO DE EDUCACIÓN SUPERIOR AUTOMOTRIZ,126
AGUASCALIENTES,INSTITUTO DE ESTUDIOS UNIVERSITARIOS OPTIMIS DUOS MUNDI,INSTITUTO DE ESTUDIOS UNIVERSITARIOS OPTIMIS DUOS MUNDI,52
AGUASCALIENTES,INSTITUTO DE POSGRADOS Y ESPECIALIDADES,INSTITUTO DE POSGRADOS Y ESPECIALIDADES,203
AGUASCALIENTES,"INSTITUTO DE PSICOTERAPIAS HUMANISTAS, S.C.","INSTITUTO DE PSICOTERAPIAS HUMANISTAS, S.C.",40
AGUASCALIENTES,INSTITUTO ESTATAL DE SEGURIDAD PÚBLICA DE AGUASCALIENTES,INSTITUTO ESTATAL DE SEGURIDAD PÚBLICA DE AGUASCALIENTES,18
AGUASCALIENTES,INSTITUTO TECNOLÓGICO DE AGUASCALIENTES,INSTITUTO TECNOLÓGICO DE AGUASCALIENTES,"6,614"
AGUASCALIENTES,INSTITUTO TECNOLÓGICO DE PABELLÓN DE ARTEAGA,INSTITUTO TECNOLÓGICO DE PABELLÓN DE ARTEAGA,"1,542"
